start,duration
1096997,11350
2819965,16888
4110352,12002
6246236,16750
6805294,30697
8147718,11929
10819207,16376
12260808,12061
12786096,16851
13282645,11182
13965998,16508
14148788,16867
16015005,11635
16080573,11222
17547392,16373
17739716,16660
20023237,11826
21121126,11438
21934495,16869
22805306,109871
22971813,16874
24035662,11757
24103225,11187
26779432,16477
26805308,11662
26821367,16382
28110851,11581
28264982,11015
30820169,16423
32018356,11696
32149596,16587
32626805,16256
32841604,16068
33386035,11526
34392798,11077
34820785,16448
36034904,11510
36101961,16718
36133789,11419
37383282,11047
37681397,16403
37877964,16507
39963477,11501
40030524,11050
40547240,16444
41906918,11129
42821400,16869
43030689,16536
44039182,11448
44096259,11015
46819986,16399
48016310,11389
48036294,11018
50053263,16320
50197047,16290
52093075,11461
52286214,16380
52319251,11327
52776886,16114
54820070,16212
56977113,11337
57811601,16197
59088026,11340
59387295,15966
60570505,11390
62805276,13796
63021470,15937
64823343,16230
65090046,16085
73199166,17775
77144233,11254
77939041,16009
78830020,16109
80001440,11107
81733974,15775
82077610,16274
82931737,16779
86819168,15932
87091831,11108
89202591,15969
92489347,15857
94820361,15587
98115418,15727
98827158,15844
102634673,15420
102819478,15900
104804932,15894
106818862,15660
108028690,11172
108246055,16131
108401805,15857
108666637,15677
114318022,16076
121389300,16096
123972164,11019
124853727,16203
126819634,15950
130818976,15649
131812569,16276
132502259,16203
134819075,15345
138373017,15946
138819868,15704
142818792,15752
146819320,15715
148872507,15882
150818603,15395
151166734,15800
152406247,11111
152516301,16204
161137432,16087
165389833,11048
165535916,15724
166821080,15551
168546504,11041
169550696,15870
178629858,15894
178820860,15776
198444774,16269
200002284,11039
202823563,16436
204004004,11093
205527270,16179
206327434,16207
206824862,16358
207991852,12975
210821688,16250
212024861,11013
212435260,16378
214821064,16537
218822619,16191
222824926,16434
224015351,11215
225197790,16303
225467657,16192
225730404,16323
228035664,11196
230821072,16294
232898309,16122
234820984,16220
238805295,13186
238820045,16196
240148324,15621
242821561,16056
246819367,16326
248041975,11222
249302936,15969
249607473,16228
249862952,11109
250819829,15958
253129395,16242
254819625,16272
256360161,15823
256638518,15817
257683476,11137
258819452,15668
260174443,11149
262820460,16214
264041355,11219
