start,duration
89,51
140,94
234,144
378,27
405,29
434,29
463,27
490,29
519,128
647,27
674,29
703,28
731,28
759,28
787,29
816,27
843,128
971,29
1000,28
1028,28
1056,28
1084,28
1112,28
1140,28
1168,131
1299,27
1326,29
1355,28
1383,28
1411,28
1439,28
1467,28
1495,127
1622,29
1651,28
1679,27
1706,29
1735,28
1763,28
1791,28
1819,146
1965,28
1993,28
2021,28
2049,29
2078,27
2105,28
2133,29
2162,126
2288,28
2316,28
2344,29
2373,27
2400,28
2428,29
2457,27
2484,123
2607,27
2634,29
2663,28
2691,28
2719,28
2747,28
2775,28
2803,133
2936,29
2965,27
2992,29
3021,28
3049,27
3076,29
3105,28
3133,132
3265,28
3293,28
3321,28
3349,28
3377,29
3406,27
3433,29
3462,28
3490,27
3517,29
3546,28
3574,27
3601,29
3630,28
3658,28
3686,28
3714,29
3743,27
3770,29
3799,28
3827,28
3855,28
3883,29
3912,27
3939,28
3967,29
3996,27
4023,29
4052,28
4080,27
4107,29
4136,28
4164,28
4192,28
4220,28
4248,28
4276,28
4304,29
4333,27
4360,28
4388,29
4417,27
4444,29
4473,28
4501,27
4528,29
4557,28
4585,28
4613,28
4641,28
4669,28
4697,28
4725,29
4754,27
4781,28
4809,29
4838,27
4865,29
4894,28
4922,27
4949,29
4978,28
5006,28
5034,28
5062,28
5090,28
5118,28
5146,29
5175,27
5202,28
5230,29
5259,27
5286,29
5315,28
5343,27
5370,29
5399,28
5427,28
5455,28
5483,28
5511,28
5539,28
5567,29
5596,27
5623,28
5651,29
5680,27
5707,29
5736,28
5764,27
5791,29
5820,28
5848,28
5876,28
5904,28
5932,28
5960,28
5988,29
6017,27
6044,28
6072,29
6101,27
6128,29
6157,28
6185,27
6212,29
6241,29
6270,27
6297,29
6326,28
6354,28
6382,28
6410,28
6438,28
6466,28
6494,29
6523,27
6550,28
6578,29
6607,27
6634,29
6663,28
6691,27
6718,29
6747,28
6775,28
6803,28
6831,28
6859,28
6887,28
6915,29
6944,27
6971,28
6999,29
7028,27
7055,29
7084,28
7112,27
7139,29
7168,28
7196,28
7224,28
7252,28
7280,28
7308,28
7336,29
7365,27
7392,28
7420,29
7449,27
7476,29
7505,28
7533,27
7560,29
7589,28
7617,28
7645,28
7673,28
7701,28
7729,28
7757,29
7786,27
7813,28
7841,29
7870,27
7897,29
7926,28
7954,27
7981,29
8010,28
8038,28
8066,28
8094,28
8122,28
8150,28
8178,29
8207,27
8234,28
8262,29
8291,27
8318,29
8347,28
8375,27
8402,29
8431,28
8459,28
8487,28
8515,28
8543,28
8571,28
8599,29
8628,27
8655,28
8683,29
8712,27
8739,29
8768,28
8796,27
8823,29
8852,28
8880,28
8908,28
8936,28
8964,28
8992,28
9020,29
9049,27
9076,29
9105,29
9134,27
9161,29
9190,28
9218,27
9245,29
9274,28
9302,28
9330,28
9358,28
9386,28
9414,28
9442,28
9470,28
9498,28
9526,29
9555,27
9582,29
9611,28
9639,28
9667,29
9696,27
9723,28
9751,29
9780,27
9807,29
9836,28
9864,27
9891,29
9920,28
9948,28
9976,28
10004,28
10032,28
10060,28
10088,29
10117,27
10144,28
10172,29
10201,27
10228,29
10257,28
10285,27
10312,28
10340,28
10368,28
10396,28
10424,29
10453,28
10481,27
10508,29
10537,28
10565,28
10593,28
10621,28
10649,28
10677,28
10705,28
10733,28
10761,28
10789,28
10817,28
10845,29
10874,27
10901,28
10929,29
10958,28
10986,28
11014,28
11042,28
11070,28
11098,28
11126,28
11154,28
11182,28
11210,28
11238,28
11266,29
11295,27
11322,28
11350,29
11379,27
11406,29
11435,28
11463,28
11491,28
11519,28
11547,28
11575,28
11603,28
11631,28
11659,28
11687,29
11716,27
11743,28
11771,29
11800,27
11827,29
11856,28
11884,28
11912,28
11940,28
11968,28
11996,28
12024,28
12052,28
12080,28
12108,29
12137,27
12164,28
12192,29
